date,pressure,wind_speed,humidity,PM10,temperature,PM2.5
2018-01-08 0:00:00,100888.209,0.83903403,82.42537313,36,27.6358209,16
2018-01-09 0:00:00,100968.7185,1.273399066,73.72997712,28,29.90663616,22
2018-01-10 0:00:00,101025.3571,1.022604,84.92857143,56,27.21428571,17
2018-01-11 0:00:00,101306.422,1.480358606,73.4266055,56,24.58256881,35
2018-01-12 0:00:00,101394.4589,1.323896381,63.62337662,61,23.61341991,37
2018-01-13 0:00:00,101386.828,1.01232929,63.5,60,22.38709677,44
2018-01-14 0:00:00,101242.7358,0.853593358,63.53773585,71,24.14245283,45
2018-01-15 0:00:00,101025.3488,0.282778791,64.7255814,78,25.34651163,55
2018-01-16 0:00:00,100864,0.19295494,63.06976744,92,27.18651163,67
2018-01-17 0:00:00,100780.8095,0.275887543,64.01428571,71,28.50904762,87
2018-01-18 0:00:00,100781.992,0.456123283,59.85657371,70,29.30119522,59
2018-01-19 0:00:00,100845.08,0.575072256,56.74,73,29.7804,59
2018-01-20 0:00:00,100781.52,0.612981248,57.624,81,29.4608,51
2018-01-21 0:00:00,100701.7004,0.185331563,61.94736842,75,29.55222672,72
2018-01-22 0:00:00,100648.125,0.517887857,68.60267857,71,29.646875,77
2018-01-23 0:00:00,100633.4052,0.630480552,73.59051724,69,29.43448276,61
2018-01-24 0:00:00,100573.4545,0.7496048,81.35909091,48,27.93318182,61
2018-01-25 0:00:00,100585.1464,0.826930477,80.84518828,33,28.35648536,34
2018-01-26 0:00:00,100618.8353,0.922087325,79.2248996,32,28.70401606,22
2018-01-27 0:00:00,100715.2191,1.097118088,78.64940239,33,28.49760956,19
2018-01-28 0:00:00,100726.3745,0.975651442,77.68924303,33,28.71713147,19
2018-01-29 0:00:00,100809.6787,1.144350586,80.82730924,32,28.95421687,20
2018-01-30 0:00:00,100807.1888,1.499648643,82.18875502,32,28.68955823,21
2018-01-31 0:00:00,100930.5221,1.971823422,86.72289157,46,27.31044177,21
2018-02-01 0:00:00,101014.0239,3.206933163,77.35059761,59,27.5625498,35
2018-02-02 0:00:00,101105.64,1.839659008,69.96,64,26.6088,51
2018-02-03 0:00:00,101276.0558,1.683791299,65.80079681,65,25.25856574,52
2018-02-04 0:00:00,101290.9881,0.914753391,59.83794466,66,25.36561265,59
2018-02-05 0:00:00,101424.56,1.023542784,58.092,58,25.7124,62
2018-02-06 0:00:00,101323.7643,1.789859772,55.77946768,81,24.97452471,51
2018-02-07 0:00:00,101142.8195,1.333221173,60.2406015,75,25.70150376,86
2018-02-08 0:00:00,101029.004,1.45385957,74.94023904,58,26.68446215,76
2018-02-09 0:00:00,100967.2908,1.7384691,76.10358566,56,27.23904382,48
2018-02-10 0:00:00,101066.0236,1.160544,74.36220472,58,28.05511811,43
2018-02-11 0:00:00,101125.754,0.553832889,80.47222222,67,27.60357143,44
2018-02-12 0:00:00,101332.2311,2.51785039,66.21115538,61,28.65298805,55
2018-02-13 0:00:00,101429.64,1.44930368,57.496,82,27.7784,46
2018-02-14 0:00:00,101330.9639,0.46571155,57.30120482,68,28.9502008,72
2018-02-15 0:00:00,101147.9051,1.344123826,68.02766798,59,29.14268775,60
2018-02-16 0:00:00,100930.7171,0.844032892,77.46215139,57,29.21314741,48
2018-02-17 0:00:00,100778.6111,1.287191365,80.44444444,52,29.04642857,47
2018-02-18 0:00:00,100854.3478,1.48212313,78.72727273,48,28.75612648,41
2018-02-19 0:00:00,100873.5317,1.247099683,80.30952381,29,28.64007937,35
2018-02-20 0:00:00,100833.6111,1.47132927,77.5952381,36,28.79880952,17
2018-02-21 0:00:00,100715.1575,1.486496,75.63779528,42,29.20354331,21
2018-02-22 0:00:00,100745.7937,1.705493079,78.86111111,46,28.91111111,27
2018-02-23 0:00:00,100976.96,1.608807552,80.72,55,27.5812,33
2018-02-24 0:00:00,101121.3025,0.659102252,81.47058824,55,27.91092437,41
2018-02-25 0:00:00,100961.4844,0.4728845,77.4453125,56,28.515625,36
2018-02-26 0:00:00,100881.5538,0.950895044,74.87649402,51,28.85657371,44
2018-02-27 0:00:00,100923.1076,1.345216382,81.35458167,58,27.10318725,33
2018-02-28 0:00:00,100818.8538,1.031725913,74.73913043,44,28.67588933,42
2018-03-01 0:00:00,100715.4086,1.147170739,77.6536965,41,29.42178988,28
2018-03-02 0:00:00,100679.8406,1.465614406,76.99601594,32,29.6438247,27
2018-03-03 0:00:00,100616.8,1.465933568,77.396,30,29.6808,19
2018-03-04 0:00:00,100708.1818,1.28705113,76.41501976,29,29.97628458,19
2018-03-05 0:00:00,100708.4646,1.430352,77.31889764,32,30.18149606,18
2018-03-06 0:00:00,100783.373,1.67586781,76.3015873,33,30.37579365,20
2018-03-07 0:00:00,100793.4252,1.971024,77.19685039,44,30.24448819,22
2018-03-08 0:00:00,100801.3492,1.612359746,76.88888889,43,30.0468254,30
2018-03-09 0:00:00,101012.2957,1.567771019,81.00389105,64,25.77782101,31
2018-03-10 0:00:00,101120.754,1.086378159,68.46031746,72,26.30992063,43
2018-03-11 0:00:00,101048.373,0.411560635,60.83730159,85,28.57777778,61
2018-03-12 0:00:00,100982.7059,0.874620612,69.57647059,56,29.25411765,80
2018-03-13 0:00:00,100899.3307,1.436512,74.98425197,46,29.6984252,43
2018-03-14 0:00:00,100785.3725,2.078998965,76.78823529,47,29.5772549,30
2018-03-15 0:00:00,100794.8606,2.168054948,75.50199203,42,29.53864542,27
2018-03-16 0:00:00,100835.16,1.6808704,76.352,30,29.5124,26
2018-03-17 0:00:00,100842.6877,1.29517913,74.01581028,24,29.84782609,20
2018-03-18 0:00:00,100916.9685,1.584704,75.52362205,27,29.90275591,16
2018-03-19 0:00:00,100822.3457,1.663246354,75.06584362,38,30.28765432,16
2018-03-20 0:00:00,100715.9055,1.318416,75.12598425,40,30.67874016,25
2018-03-21 0:00:00,100741.451,2.277099043,76.89019608,49,30.07960784,26
2018-03-22 0:00:00,100681.2403,1.494465116,78.87209302,57,28.38604651,34
2018-03-23 0:00:00,100803.3074,0.838069541,71.88326848,61,29.45564202,45
2018-03-24 0:00:00,100933.5135,0.3203499,69.76833977,54,30.37181467,50
2018-03-25 0:00:00,101057.1206,0.830068047,74.50583658,53,29.99688716,37
2018-03-26 0:00:00,101005.6078,1.491535812,71.51764706,56,30.59411765,31
2018-03-27 0:00:00,100906.8093,1.83129849,80.49027237,47,28.47937743,43
2018-03-28 0:00:00,100772.4514,1.978108514,78.56031128,44,29.81789883,33
2018-03-29 0:00:00,100753.5135,2.113860571,78.29343629,48,29.79305019,28
2018-03-30 0:00:00,100733.7255,2.211007247,78.10196078,48,30.43294118,32
2018-03-31 0:00:00,100752.4903,1.724843829,78.77042802,56,29.88599222,33
2018-04-01 0:00:00,100819.1473,1.218617178,84.78294574,57,27.73100775,42
2018-04-02 0:00:00,100831.5953,1.581860607,82.10894942,58,28.42373541,41
2018-04-03 0:00:00,100784.4534,1.228002591,77.951417,44,28.80161943,45
2018-04-04 0:00:00,100655.214,1.913574724,80.26459144,52,29.58171206,29
2018-04-05 0:00:00,100627.0543,1.935787163,76.48062016,57,29.99186047,34
2018-04-06 0:00:00,100666.2109,1.282620625,73.21875,31,29.90703125,43
2018-04-07 0:00:00,101097.4118,2.949236831,80.37647059,46,25.38313725,19
2018-04-08 0:00:00,101253.3977,2.518440402,62.86872587,67,25.72895753,28
2018-04-09 0:00:00,101016.0938,1.8601055,59.20703125,56,28.78710938,45
2018-04-10 0:00:00,100827.976,1.462600208,60.18637275,45,31.03026052,37.5
2018-04-11 0:00:00,100762.8099,1.912419879,75.31129477,35,30.28484848,30
2018-04-12 0:00:00,100672.1034,2.347114152,74.27931034,29,30.83172414,21
2018-04-13 0:00:00,100708.2222,2.187019022,74.83703704,28,31.14888889,19
2018-04-14 0:00:00,100626.6406,2.201497375,76.3046875,28,31.1390625,20
2018-04-15 0:00:00,100628.7795,2.26776,75.3976378,34,31.30275591,20
2018-04-16 0:00:00,100753.2677,2.071696,73.27165354,28,31.44094488,24
2018-04-17 0:00:00,100998.2143,2.172224127,86.21031746,45,26.99761905,19
2018-04-18 0:00:00,100921.9763,1.382466783,76.11857708,33,28.52529644,31
2018-04-19 0:00:00,100729.0196,1.933667137,74.08235294,33,30.44666667,22
2018-04-20 0:00:00,100693.1225,1.987649391,77.12648221,33,30.64703557,20
2018-04-21 0:00:00,100677.9447,2.030409739,75.01976285,28,30.95889328,22
2018-04-22 0:00:00,100670.996,2.549909036,72.97609562,43,31.18844622,17
2018-04-23 0:00:00,100527.6259,2.221692317,70.88489209,36,31.92122302,27
2018-04-24 0:00:00,100561.3672,2.29492175,75.5859375,46,31.47617188,23
2018-04-25 0:00:00,100585.443,2.245008473,74.7257384,41,31.14514768,28
2018-04-26 0:00:00,100681.5175,2.807480778,77.54085603,37,30.09766537,24
2018-04-27 0:00:00,100864.4961,2.094157147,76.69379845,30,28.55968992,24
2018-04-28 0:00:00,100979.8039,1.366364612,93.09019608,39,24.75607843,21
2018-04-29 0:00:00,100856.6797,1.403985,84.16015625,29,27.0578125,25
2018-04-30 0:00:00,100845.4086,1.752327222,91.26459144,19,26.22996109,19
2018-05-01 0:00:00,100894.8819,1.720048,86.22047244,26,27.21220472,13
2018-05-02 0:00:00,100881.7063,1.694317079,79.21428571,36,29.03888889,15
2018-05-03 0:00:00,100917.0428,1.688489214,78.78210117,39,28.94124514,21
2018-05-04 0:00:00,100847.1984,1.835821074,74.26459144,29,29.72529183,22
2018-05-05 0:00:00,100934.0698,1.496717643,76.9379845,25,29.87790698,16
2018-05-06 0:00:00,100886.4453,1.740662,79.70703125,33,30.04414063,16
2018-05-07 0:00:00,100722.5882,1.950146259,80.31764706,38,29.7572549,18
2018-05-08 0:00:00,100588.549,1.756078306,76.81568627,34,31.01490196,22
2018-05-09 0:00:00,100673.4252,2.035968,79.2992126,32,30.86417323,19
2018-05-10 0:00:00,100762.2441,2.3892,76.79527559,38,31.16141732,17
2018-05-11 0:00:00,100802.3047,1.157239875,79.71875,45,28.12539062,19
2018-05-12 0:00:00,100755.6627,1.442736321,75.94779116,37,29.88473896,28
2018-05-13 0:00:00,100748.12,1.279070848,73.56,37,30.4896,23
2018-05-14 0:00:00,100763.0522,2.061231422,75.59839357,46,29.27951807,22
2018-05-15 0:00:00,100604.5418,1.673105084,78.20717131,28,29.56015936,28
2018-05-16 0:00:00,100534.0161,1.913654361,70.35341365,26,31.69718876,18
2018-05-17 0:00:00,100528.28,2.559929856,72.372,33,31.6716,16
2018-05-18 0:00:00,100513.44,1.956068224,77.972,35,30.2816,20
2018-05-19 0:00:00,100495.498,1.374247267,75.20717131,43,29.97649402,21.33333333
2018-05-20 0:00:00,100497.68,1.211299584,73.292,41,31.1528,22.66666667
2018-05-21 0:00:00,100548.5081,1.111831742,79.5766129,43,29.70967742,24
2018-05-22 0:00:00,100693.4926,1.393384235,85.15808824,41,27.84779412,25
2018-05-23 0:00:00,100664.8855,1.936092702,78.97328244,29,29.02099237,25
2018-05-24 0:00:00,100698.2731,1.953690474,79.79116466,29,28.17630522,16
2018-05-25 0:00:00,100613.3466,2.194592382,78.75298805,29,29.31633466,15
2018-05-26 0:00:00,100681.4103,1.528150838,81.96153846,34,28.96965812,15
2018-05-27 0:00:00,100708.6747,1.880261012,78.4497992,42,29.43212851,19
2018-05-28 0:00:00,100705.28,1.23740672,77.392,32,29.9856,22
2018-05-29 0:00:00,100724.498,2.547589398,80.03614458,28,29.34899598,14
2018-05-30 0:00:00,100686.96,2.752693504,79.444,41,29.8384,16
2018-05-31 0:00:00,100750.0707,1.536996184,80.57597173,37,29.14664311,24
2018-06-01 0:00:00,100739.3426,1.708187792,74.67474048,37,29.87231834,18
