Date,PM2.5,temperature,dewpoint,humidity,wind_speed,pressure,PM10,traffic
13/8/2017,14,31.76934307,24.51350365,66.45620438,3.006751883,100673.5401,35,0.516376307
14/8/2017,18,30.86736111,25.65173611,74.52777778,2.522361111,100678.125,33,0.809722222
15/8/2017,16,29.93791946,26.01308725,79.97651007,2.13964145,100563.1208,31,3.275087719
16/8/2017,18,28.3488189,24.61023622,81.01574803,1.792208,100435.9843,27,4.003125
17/8/2017,16,26.96705882,24.74196078,88.12156863,1.601980988,100374.5098,44,3.81184669
18/8/2017,23,28.87295082,23.65327869,74.37704918,2.839620066,100521.2295,45,3.922569444
19/8/2017,18,29.18958333,23.653125,72.72916667,2.938822333,100422.8125,26,2.5975
20/8/2017,13,28.75263158,24.66526316,78.71578947,2.310020379,100344.9474,30,1.073611111
21/8/2017,15,30.161875,24.49,72.0125,2.390267,100333.625,51,3.208928571
22/8/2017,18,30.27509728,24.23501946,70.50194553,3.744351377,100418.2101,47,3.558098592
23/8/2017,16,29.17747036,24.52371542,76.69960474,3.651945739,100410.0395,42,3.577777778
24/8/2017,19,29.04417671,24.53855422,77.28514056,2.20306339,100445.6225,42,3.586805556
25/8/2017,17,29.70040161,24.85220884,75.64658635,2.4660809,100463.1325,36,4.04738676
26/8/2017,18,29.07928287,24.287251,76.39043825,2.462994486,100313.5857,25,2.844097222
27/8/2017,14,27.71062992,24.19645669,82.17716535,2.70336,100323.4646,34,1.230555556
28/8/2017,17,27.40947368,24.06789474,82.8,3.202218105,100442.6316,45,3.042508711
29/8/2017,23,27.46548223,23.76751269,80.65482234,1.457985787,100548.2234,49,3.527272727
30/8/2017,23,30.67208122,25.13147208,73.17766497,2.134445807,100562.2843,38,3.624305556
31/8/2017,19,29.50820313,24.75664063,76.78515625,1.66697025,100686.9141,41,3.48815331
1/9/2017,19,30.67839196,24.84522613,72.41708543,2.19745994,100683.7688,51,3.922661871
2/9/2017,20,30.2787234,24.3787234,71.07446809,2.962828936,100486.2766,31,2.561805556
3/9/2017,14,30.54526316,24.35578947,70.2,4.562160842,100431.0526,34,1.228222997
4/9/2017,14,31.60765306,24.86785714,68.14285714,3.487596245,100494.7959,31,3.097569444
5/9/2017,16,29.8608,25.736,79.22,1.880965504,100584.64,24,3.182638889
6/9/2017,19,28.78181818,25.85533597,84.67193676,1.326984348,100630.4348,27,3.560350877
7/9/2017,16,29.18588235,25.57764706,81.44313725,1.811476204,100689.6863,29,4.191666667
8/9/2017,17,30.77992126,25.88425197,75.79527559,1.713184,100714.9606,30,3.75625
9/9/2017,15,31.47882353,25.70627451,72.40784314,1.903689161,100635.2157,41,2.238194444
10/9/2017,22,29.6524,25.5176,79.048,1.65494208,100722.88,48,1.128125
11/9/2017,29,30.11976285,25.5201581,76.93280632,1.64309287,100763.7549,51,3.210416667
12/9/2017,29,30.56111111,25.33769841,74.61111111,1.241422984,100809.2063,49,3.553125
13/9/2017,29,29.64206349,24.61785714,75.06746032,2.034032,100723.9286,44,3.38125
14/9/2017,23,31.27351779,24.8486166,69.72332016,3.040932174,100420.3953,37,3.351041667
15/9/2017,21,28.77051282,25.03653846,80.99358974,2.045208,100290.8974,31,3.411297071
16/9/2017,15,26.11111,24.66526316,82.17716535,1.150041444,100235.8133,22,
17/9/2017,11,29.44444,24.49,82.8,1.231998778,100266.5972,40,
18/9/2017,18,28.88889,24.23501946,80.65482234,1.202196111,100552.3264,39,
19/9/2017,16,27.77778,24.5237157,73.17766497,1.579075667,100791.3889,47,
20/9/2017,25,26.66667,24.53858674,76.78515625,1.861269667,100794.2014,52,
21/9/2017,35,27.22222,24.85220884,72.41708543,1.105027,100789.8264,47,
22/9/2017,25,29.44444,24.287251,71.07446809,0.917673778,100908.9931,42,
23/9/2017,25,29.44444,24.19645669,70.2,0.825773538,100973.4028,39,
24/9/2017,22,29.44444,24.06789474,68.14285714,1.243115077,100936.25,32,
25/9/2017,14,30,23.76751269,79.22,0.937076556,100778.6458,29,
26/9/2017,13,28.33333,26.13147208,81.28819444,2.938822333,100672.3264,44,
27/9/2017,24,27.68,24.75664063,80.46527778,2.310020379,100623.3333,34,
28/9/2017,16,29.5,25.04522613,71.96527778,2.390267,100609.4097,43,
29/9/2017,22,30,24.3787234,70.63194444,3.744351377,100609.5833,47,
30/9/2017,30,28.33333,24.96842,67.20138889,3.651945739,100670.7292,50,
1/10/2017,30,27.22222,24.86785714,83.72916667,2.20306339,100786.2847,39,
2/10/2017,23,29.44444,25.736,76.37152778,2.4660809,100879.2014,39,
3/10/2017,22,29.44444,25.85533597,73.37177777,2.4112,100858.9583,37,
4/10/2017,19,29.83055556,23.60104167,70.98958333,2.338888444,100845,37,
5/10/2017,19,27.37083333,24.28333333,84.20486111,2.369777667,100915.3125,46,
6/10/2017,26,27.83819444,24.82604167,84.51736111,1.414695333,100911.6667,46,
7/10/2017,27,28.54965278,25.18506944,82.95138889,1.336773778,100897.8472,46,
8/10/2017,28,28.67847222,25.04305556,81.28819444,1.150041444,100860,42,
9/10/2017,22,28.08958333,24.29930556,80.46527778,1.231998778,100824.9653,46,
10/10/2017,27,30.13263889,24.39756944,71.96527778,1.202196111,100846.5625,35,
11/10/2017,21,30.47291667,24.31527778,70.63194444,1.579075667,100961.5972,52,
12/10/2017,34,30.56631944,23.67951389,67.20138889,1.861269667,101061.8056,57,
13/10/2017,44,27.81284722,24.72465278,83.72916667,1.105027,101079.8264,36,
14/10/2017,20,30.11770833,25.31006944,76.37152778,0.917673778,100959.2361,38,
15/10/2017,20,29.91118881,25.36503497,77.59440559,0.825773538,100972.7622,37,
16/10/2017,16,30.48706294,25.73741259,76.29370629,1.243115077,100934.0909,45,
17/10/2017,21,30.20173611,25.33333333,75.65625,0.937076556,100824.5139,45,
18/10/2017,25,30.34716312,25.16347518,74.64539007,1.21128817,100758.617,47,
19/10/2017,25,29.89652778,24.99583333,75.41319444,0.679252444,100820.8333,38,
20/10/2017,19,27.31041667,24.65486111,85.79861111,1.324200778,100895.1389,53,
21/10/2017,32,28.18148148,25.77962963,86.91666667,0.862207704,100708.5185,38,
22/10/2017,25,28.61048951,25.37307692,83.54195804,1.496802462,100771.1888,31,
23/10/2017,19,29.33194444,24.73645833,77.65625,2.206639111,100792.1528,29,
24/10/2017,20,27.09407666,24.73763066,87.35888502,1.54890793,101047.8397,42,
25/10/2017,27,28.14388186,24.44345992,81.13080169,1.484663224,101165.6118,44,
26/10/2017,35,28.89,24.09225092,73.54195804,2.69621,101092.8758,61,
27/10/2017,45,27.63,22.27673611,77.65625,4.023996356,101070.3415,50,
28/10/2017,37,29.8563,21.37188612,70.35888502,2.3174833,101058.3203,56,
29/10/2017,49,29.0004,20.6615625,68.13080169,2.308739786,100784.9225,58,
30/10/2017,46,29.70457516,19.74705882,55.26143791,4.099035399,101042.8758,55,
31/10/2017,42,28.12097561,19.91121951,61.47317073,2.320246634,101030.3415,59,
1/11/2017,43,27.34453125,20.7484375,67.4453125,2.70005175,101013.3203,57,
2/11/2017,43,28.94186047,21.18023256,63.47286822,2.324088186,100784.9225,55,
3/11/2017,40,29.24428044,19.69225092,57.51660517,2.484123749,100780.4428,65,
4/11/2017,51,28.57673611,17.27673611,50.97222222,2.69621,100807.7431,54,
5/11/2017,33,25.74733096,17.37188612,60.67615658,4.023996356,100865.8363,64,
6/11/2017,48,25.285,19.6615625,71.18125,2.3174833,100873.375,54,
7/11/2017,38,27.47328244,21.52519084,70.57251908,2.308739786,100823.0153,51,
8/11/2017,36,27.5995935,21.87154472,71.07317073,1.190834602,100883.4959,47,
9/11/2017,29,28.81295547,22.7097166,70.08502024,1.656762818,100793.1174,47,
10/11/2017,28,29.58433735,23.91807229,72.14056225,1.775233542,100775.1406,37,
11/11/2017,21,27.3648,23.7404,80.892,1.69159936,100832.56,41,
12/11/2017,26,28.798,23.5784,74.972,1.624185728,100694.4,51,
13/11/2017,33,28.16294643,24.67008929,81.80803571,1.601560714,100654.8661,56,
