date,pressure,wind_speed,humidity,temperature,PM2.5,PM10
21/1/2018,100701.7004,0.185331563,61.94736842,29.55222672,72,75
22/1/2018,100648.125,0.517887857,68.60267857,29.646875,77,71
23/1/2018,100633.4052,0.630480552,73.59051724,29.43448276,61,69
24/1/2018,100573.4545,0.7496048,81.35909091,27.93318182,61,48
25/1/2018,100585.1464,0.826930477,80.84518828,28.35648536,34,33
26/1/2018,100618.8353,0.922087325,79.2248996,28.70401606,22,32
27/1/2018,100715.2191,1.097118088,78.64940239,28.49760956,19,33
28/1/2018,100726.3745,0.975651442,77.68924303,28.71713147,19,33
29/1/2018,100809.6787,1.144350586,80.82730924,28.95421687,20,32
30/1/2018,100807.1888,1.499648643,82.18875502,28.68955823,21,32
31/1/2018,100930.5221,1.971823422,86.72289157,27.31044177,21,46
1/2/2018,101014.0239,3.206933163,77.35059761,27.5625498,35,59
2/2/2018,101105.64,1.839659008,69.96,26.6088,51,64
3/2/2018,101276.0558,1.683791299,65.80079681,25.25856574,52,65
4/2/2018,101290.9881,0.914753391,59.83794466,25.36561265,59,66
5/2/2018,101424.56,1.023542784,58.092,25.7124,62,58
6/2/2018,101323.7643,1.789859772,55.77946768,24.97452471,51,81
7/2/2018,101142.8195,1.333221173,60.2406015,25.70150376,86,75
8/2/2018,101029.004,1.45385957,74.94023904,26.68446215,76,58
9/2/2018,100967.2908,1.7384691,76.10358566,27.23904382,48,56
10/2/2018,101066.0236,1.160544,74.36220472,28.05511811,43,58
11/2/2018,101125.754,0.553832889,80.47222222,27.60357143,44,67
12/2/2018,101332.2311,2.51785039,66.21115538,28.65298805,55,61
13/2/2018,101429.64,1.44930368,57.496,27.7784,46,82
14/2/2018,101330.9639,0.46571155,57.30120482,28.9502008,72,68
15/2/2018,101147.9051,1.344123826,68.02766798,29.14268775,60,59
16/2/2018,100930.7171,0.844032892,77.46215139,29.21314741,48,57
17/2/2018,100778.6111,1.287191365,80.44444444,29.04642857,47,52
18/2/2018,100854.3478,1.48212313,78.72727273,28.75612648,41,48
19/2/2018,100873.5317,1.247099683,80.30952381,28.64007937,35,29
20/2/2018,100833.6111,1.47132927,77.5952381,28.79880952,17,36
21/2/2018,100715.1575,1.486496,75.63779528,29.20354331,21,42
22/2/2018,100745.7937,1.705493079,78.86111111,28.91111111,27,46
23/2/2018,100976.96,1.608807552,80.72,27.5812,33,55
24/2/2018,101121.3025,0.659102252,81.47058824,27.91092437,41,55
25/2/2018,100961.4844,0.4728845,77.4453125,28.515625,36,56
26/2/2018,100881.5538,0.950895044,74.87649402,28.85657371,44,51
27/2/2018,100923.1076,1.345216382,81.35458167,27.10318725,33,58
28/2/2018,100818.8538,1.031725913,74.73913043,28.67588933,42,44
1/3/2018,100715.4086,1.147170739,77.6536965,29.42178988,28,41
2/3/2018,100679.8406,1.465614406,76.99601594,29.6438247,27,32
3/3/2018,100616.8,1.465933568,77.396,29.6808,19,30
4/3/2018,100708.1818,1.28705113,76.41501976,29.97628458,19,29
5/3/2018,100708.4646,1.430352,77.31889764,30.18149606,18,32
6/3/2018,100783.373,1.67586781,76.3015873,30.37579365,20,33
7/3/2018,100793.4252,1.971024,77.19685039,30.24448819,22,44
8/3/2018,100801.3492,1.612359746,76.88888889,30.0468254,30,43
9/3/2018,101012.2957,1.567771019,81.00389105,25.77782101,31,64
10/3/2018,101120.754,1.086378159,68.46031746,26.30992063,43,72
11/3/2018,101048.373,0.411560635,60.83730159,28.57777778,61,85
12/3/2018,100982.7059,0.874620612,69.57647059,29.25411765,80,56
13/3/2018,100899.3307,1.436512,74.98425197,29.6984252,43,46
14/3/2018,100785.3725,2.078998965,76.78823529,29.5772549,30,47
15/3/2018,100794.8606,2.168054948,75.50199203,29.53864542,27,42
16/3/2018,100835.16,1.6808704,76.352,29.5124,26,30
17/3/2018,100842.6877,1.29517913,74.01581028,29.84782609,20,24
18/3/2018,100916.9685,1.584704,75.52362205,29.90275591,16,27
19/3/2018,100822.3457,1.663246354,75.06584362,30.28765432,16,38
20/3/2018,100715.9055,1.318416,75.12598425,30.67874016,25,40
21/3/2018,100741.451,2.277099043,76.89019608,30.07960784,26,49
22/3/2018,100681.2403,1.494465116,78.87209302,28.38604651,34,57
23/3/2018,100803.3074,0.838069541,71.88326848,29.45564202,45,61
24/3/2018,100933.5135,0.3203499,69.76833977,30.37181467,50,54
25/3/2018,101057.1206,0.830068047,74.50583658,29.99688716,37,53
26/3/2018,101005.6078,1.491535812,71.51764706,30.59411765,31,56
27/3/2018,100906.8093,1.83129849,80.49027237,28.47937743,43,47
28/3/2018,100772.4514,1.978108514,78.56031128,29.81789883,33,44
29/3/2018,100753.5135,2.113860571,78.29343629,29.79305019,28,48
30/3/2018,100733.7255,2.211007247,78.10196078,30.43294118,32,48
31/3/2018,100752.4903,1.724843829,78.77042802,29.88599222,33,56
1/4/2018,100819.1473,1.218617178,84.78294574,27.73100775,42,57
